Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Joint 7
0.0355905,0.129972,0.0408555,-0.0985695,0.00316406,-0.121594,-0.0321733
-0.03314,0.0790874,-0.109048,-0.166592,-0.0640438,-0.0905428,0.0705982
0.0757345,0.0543737,0.0453351,-0.0734477,0.0405626,-0.0832535,-0.0714389
-0.0435796,0.0423724,-0.0478253,-0.110459,-0.0166563,-0.0632166,0.0395236
0.0226367,0.076959,0.0262608,-0.0149207,0.0249863,-0.0648644,-0.0342016
-0.0166145,0.0633382,0.022156,-0.0933464,0.0268117,-0.0467584,-0.00184099
-0.0584438,0.0925335,-0.0120714,-0.14573,-0.0249104,-0.0581469,0.0301635
0.0363849,0.130599,0.0415913,-0.0991577,0.00322064,-0.121744,-0.0330592
-0.0353341,0.0800277,-0.109507,-0.166496,-0.0640012,-0.0907793,0.0711762
0.0769827,0.0544958,0.0459886,-0.0729613,0.0410825,-0.0828692,-0.072402
-0.0447246,0.0426983,-0.0487361,-0.10974,-0.0168528,-0.062942,0.0406097
0.0234188,0.0766461,0.0265528,-0.0144888,0.0251378,-0.0642296,-0.034756
-0.0162981,0.0636019,0.0217711,-0.0927598,0.0267029,-0.0465292,-0.00148781
-0.0588293,0.0932909,-0.0123788,-0.145541,-0.0254044,-0.0583267,0.0305111
0.0371795,0.131159,0.0423033,-0.0996608,0.00327907,-0.121879,-0.0339192
-0.0374645,0.0808983,-0.109949,-0.166326,-0.0639467,-0.0910018,0.0717367
0.0782046,0.0545721,0.0466183,-0.0724202,0.041587,-0.0824878,-0.0733302
-0.0458409,0.0429749,-0.0496219,-0.108968,-0.0170371,-0.0626702,0.0416653
0.0241996,0.0762978,0.0268384,-0.0140104,0.0252846,-0.0636076,-0.0352984
-0.0159818,0.0638176,0.0213921,-0.0921237,0.0265973,-0.0463049,-0.00114268
-0.0591815,0.0939845,-0.012675,-0.145288,-0.0258795,-0.0584993,0.030843
0.0379719,0.131655,0.042993,-0.100085,0.0033389,-0.121998,-0.0347539
-0.0395339,0.0817025,-0.110372,-0.166086,-0.0638812,-0.0912112,0.0722798
0.0793993,0.0546053,0.0472255,-0.0718299,0.0420763,-0.0821096,-0.0742245
-0.0469298,0.0432048,-0.0504824,-0.108151,-0.01721,-0.0624015,0.0426904
0.024977,0.0759164,0.0271181,-0.0134903,0.0254266,-0.0629983,-0.0358287
-0.0156668,0.0639879,0.0210198,-0.0914429,0.0264946,-0.0460855,-0.000805572
-0.0595032,0.0946175,-0.0129598,-0.144975,-0.0263366,-0.058665,0.0311601
0.0387602,0.132091,0.0436615,-0.100436,0.00339975,-0.122105,-0.0355635
-0.0415446,0.0824437,-0.110777,-0.165783,-0.0638057,-0.0914083,0.0728056
0.0805662,0.054598,0.0478117,-0.0711953,0.0425506,-0.0817351,-0.0750859
-0.047992,0.0433908,-0.0513172,-0.107291,-0.0173723,-0.0621364,0.0436857
0.0257494,0.0755043,0.0273924,-0.0129328,0.0255637,-0.0624018,-0.0363466
-0.0153538,0.0641155,0.0206549,-0.0907223,0.0263947,-0.0458712,-0.000476461
-0.0597966,0.0951929,-0.0132329,-0.144608,-0.0267764,-0.0588243,0.0314631
0.0395427,0.132469,0.0443101,-0.100719,0.0034613,-0.122198,-0.0363487
-0.043499,0.0831252,-0.111163,-0.165422,-0.0637209,-0.091594,0.0733143
0.0817048,0.0545528,0.048378,-0.0705213,0.04301,-0.0813646,-0.0759152
-0.0490283,0.0435357,-0.0521259,-0.106395,-0.0175246,-0.061875,0.0446514
0.0265156,0.0750637,0.0276617,-0.0123421,0.0256959,-0.0618178,-0.0368518
-0.0150435,0.0642029,0.020298,-0.0899661,0.0262972,-0.045662,-0.000155298
-0.060064,0.0957138,-0.0134944,-0.144191,-0.0271997,-0.0589774,0.0317526
0.0403182,0.132793,0.0449396,-0.10094,0.00352328,-0.122279,-0.03711
-0.0453988,0.0837501,-0.111529,-0.165008,-0.0636275,-0.091769,0.0738061
0.0828149,0.0544722,0.0489255,-0.069812,0.0434549,-0.0809983,-0.0767134
-0.0500393,0.0436418,-0.0529087,-0.105466,-0.0176673,-0.0616175,0.0455881
0.0272742,0.074597,0.0279263,-0.0117221,0.0258232,-0.0612464,-0.0373444
-0.0147363,0.0642526,0.0199496,-0.0891784,0.0262021,-0.0454578,0.000157957
-0.0603071,0.0961829,-0.0137442,-0.14373,-0.0276072,-0.0591248,0.0320294
0.0410854,0.133066,0.045551,-0.101103,0.00358545,-0.122349,-0.0378479
-0.0472459,0.0843214,-0.111877,-0.164547,-0.0635264,-0.0919339,0.0742812
0.0838964,0.0543586,0.0494552,-0.0690717,0.0438855,-0.0806364,-0.0774813
-0.0510254,0.0437117,-0.0536654,-0.104509,-0.0178012,-0.0613643,0.0464961
0.0280245,0.0741062,0.0281866,-0.0110764,0.0259457,-0.0606873,-0.0378241
-0.0144327,0.0642669,0.0196099,-0.0883631,0.0261091,-0.0452587,0.000463353
-0.0605276,0.0966032,-0.0139826,-0.143227,-0.0279996,-0.0592667,0.032294
